ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
16050,с.,Горен чифлик,VAR,VAR13,VAR13-05,3,5,1,1901,NE,1102
16064,с.,Горица,BGS,BGS17,BGS17-05,3,6,2,1901,SE,1103
16078,с.,Горица,VAR,VAR05,VAR05-00,3,8,3,1901,NE,1104
16081,с.,Горица,TGV,TGV24,TGV24-00,3,7,5,1901,NE,1105
18575,с.,Горица,DOB,DOB12,DOB12-08,3,8,3,1901,NE,1106
16095,с.,Горичане,DOB,DOB29,DOB29-00,3,8,2,1901,NE,1107
16105,с.,Горичево,RAZ,RAZ16,RAZ16-04,3,7,3,1901,N,1108
02782,с.,Горна Арда,SML,SML31,SML31-00,3,8,8,1901,S,1109
16119,с.,Горна Бела речка,MON,MON12,MON12-00,3,8,5,1901,NW,1110
16122,с.,Горна Бешовица,VRC,VRC27,VRC27-04,3,7,5,1901,NW,1111
18513,с.,Горна Биркова,PAZ,PAZ08,PAZ08-23,3,7,8,1901,S,1112
16136,с.,Горна Брезница,BLG,BLG28,BLG28-01,3,6,5,1901,SW,1113
16141,с.,Горна Брестница,KNL,KNL29,KNL29-00,3,8,7,1901,SW,1114
18561,с.,Горна Василица,SFO,SFO25,SFO25-01,3,7,7,1901,SW,1115
